"decimalLongitude","decimalLatitude"
-77.275566,41.201645
-117.96634,34.527454
-100.41215,29.31687
-71.30058,42.20411
-92.27074,41.896656
-122.312164,47.46295
-73.968956,40.660286
-76.88731,39.02545
-75.91858,44.699726
-91.100716,43.058193
-73.67481,45.549404
-70.34082,43.54466
-85.609634,42.964916
-83.10952,40.096542
-71.02112,42.2942
-81.05416,41.770527
-81.3074,29.819078
-90.02289,38.798187
-73.26224,40.62427
-74.302002,40.118069
-74.56438,40.351124
-102.89971,31.579128
-71.233864,42.379776
-73.97248,40.77155
-79.90262,43.037716
-78.27895,40.483322
-75.36473,39.88196
-99.28345,34.166363
-73.49173,45.653244
-83.40541,40.558434
-90.778656,43.66191
-83.68947,41.02137
-76.354454,43.001175
-82.84626,42.578835
-114.267426,42.44778
-105.11418,39.997047
-97.346695,26.229578
-86.105125,42.588352
-89.40601,43.054413
-106.747955,32.33764
-90.98713,43.60347
-87.97956,41.481495
-74.95088,38.978634
-116.56938,34.05072
-85.87148,42.877735
-73.97539,40.678272
-102.22228,40.075436
-75.18198,39.90279
-110.1409,31.5479
-80.61361,28.306906
-96.69899,32.98665
-93.3539,37.16365
-119.53825,49.19351
-91.16745,30.441523
-81.969124,26.514215
-71.1069,42.29404
-94.73502,39.0074
-72.58535,41.28902
-83.579994,41.68083
-98.21888,26.198
-83.58141,42.19217
-82.45265,36.322247
-87.86661,42.758865
-94.46093,44.297348
-81.50065,41.133198
-74.75,45.65
-78.3168,44.29938
-76.28685,37.053272
-83.09397,40.570755
-87.88671,41.14596
-83.26372,41.64507
-85.22301,42.651196
-121.51,41.89
-97.628265,27.870588
-98.655106,38.46342
-97.08476,38.369114
-80.52835,43.41965
-119.93194,39.506966
-80.60477,28.40588
-85.63498,43.0058
-111.95079,41.154034
-94.12565,45.610825
-90.46512,38.557026
-90.68401,42.574955
-117.27847,33.88582
-117.25108,34.05064
-74.03222,40.64037
-95.11957,29.59953
-70.82264,42.258858
-96.68886,40.85151
-70.93145,41.673977
-69.266785,44.921833
-85.67909,38.21713
-87.93296,43.31579
-88.133095,30.251091
-121.51117,41.714134
-108.42781,30.77936
-99.707008,32.347649
-100.93114,32.32899
-87.717674,41.949978
-71.31916,42.108173
-79.72221,43.216904
-90.66138,29.25457
-104.600914,39.361378
-95.63393,30.089296
-118.35258,33.793907
-89.48427,43.00371
-71.64663,42.842556
-73.0735,41.5964
-72.55983,42.339626
-97.51679,25.945724
-118.29786,34.157684
-79.79198,32.78697
-71.33187,42.646893
-94.39104,35.3613
-83.75701,39.94305
-114.077866,50.98883
-71.48145,42.449738
-87.79025,41.973118
-89.02585,13.936438
-123.73106,38.952034
-77.28535,25.037203
-84.59468,42.753506
-71.18979,42.10864
-91.54736,41.629887
-82.52143,42.64994
-89.90226,38.578384
-71.14805,41.714363
-73.8308,40.618847
-104.3285,29.544231
-98.230995,26.176876
-96.49505,33.007545
-77.175026,40.229675
-71.487495,42.5
-77.35299,37.25133
-111.53684,45.896336
-89.372406,38.85201
-122.42862,37.806057
-118.64144,37.50838
-79.72377,43.2427
-87.58134,41.7812
-73.97248,40.77155
-111.89264,33.219315
-83.02335,42.530407
-88.43897,13.348259
-75.25927,38.85361
-73.2579,40.9117
-105.8848,37.49135
-80.58767,40.938416
-114.081245,46.868427
-83.85903,43.12548
-88.44837,41.70058
-91.519875,41.644176
-87.5809,33.205627
-77.55892,39.441647
-81.21818,33.99905
-106.88,33.802
-124.106384,40.950813
-82.399796,36.3195
-85.60828,42.953873
-79.10326,35.822506
-90.83576,44.94482
-77.34407,34.529575
-122.831894,42.450756
-79.32917,43.62827
-80.09946,42.15868
-90.49718,36.04135
-84.175064,42.668884
-80.48468,25.454409
-114.07381,51.160583
-70.8773,42.81259
-83.03271,39.940098
-120.727356,37.375187
-103.79912,34.434357
-82.45652,42.09453
-99.81286,30.439165
-90.173676,42.05592
-122.80174,45.504772
-92.455956,42.40318
-70.8807,42.2713
-111.73395,33.36145
-84.48567,42.725967
-75.652596,40.583866
-111.89125,40.85421
-84.24315,43.62179
-95.33425,39.00734
-89.21743,48.443832
-81.27928,41.667446
-73.14597,45.125298
-73.93483,40.839043
-80.473366,41.24311
-99.11844,30.062464
-88.55239,44.6555
-74.12814,39.97099
-112.3305,48.635
-104.752945,39.937424
-87.38679,37.42302
-117.34582,33.17971
-123.918236,46.00685
-87.58296,41.785713
-74.93293,38.96394
-79.494194,43.64496
-117.87647,33.902496
-113.55397,51.212032
-109.0377,44.509697
-122.325523,40.542881
-83.18721,41.61191
-121.347725,38.796406
-122.33812,47.78277
-88.77478,45.13734
-87.89405,41.84371
-70.84019,42.493015
-73.89143,40.592346
-88.54119,43.615337
-81.55948,42.569775
-121.325066,44.04139
